cod_cliente,clt_tipo_contac,clt_contac
34112335,3,5845820739061
98405282,1,griojas@gmail.com
98405282,2,8567973698895
98405282,3,1367294079693
98405282,4,9930116137074
63339475,1,violeta95@gmail.com
55130943,1,riveraelvia@hotmail.com
75805753,1,ovelasco@yahoo.com
75805753,2,8088260960361
75805753,3,2925375978300
75805753,4,2750128600468
88539386,1,esmeraldagomez@yahoo.com
88539386,2,3399282819766
88539386,3,7768271260104
88539386,4,6444192805272
14174551,1,juan58@gmail.com
14174551,2,7005289885270
14174551,3,6547488779048
68379032,1,victor19@yahoo.com
68379032,2,0730309771452
68379032,3,5339082575979
68379032,4,9227850588156
68379032,5,9301273453551
18702347,1,leonor59@yahoo.com
18702347,2,9174721147744
18702347,3,7703871983099
18702347,4,8282992191105
18702347,5,8871511535238
94109290,1,anabeljimenez@gmail.com
23513433,1,rocioorozco@gmail.com
23513433,2,7911313469038
23513433,3,9353501107032
27197493,1,jose-carlos75@hotmail.com
27197493,2,7104157742006
27197493,3,3689744640232
08958709,1,qmontalvo@gmail.com
08958709,2,7427194437424
07870798,1,porfirio78@hotmail.com
07870798,2,9484556290860
07870798,3,6745417764810
07870798,4,4702482767839
88155708,1,gonzalo43@gmail.com
88155708,2,8769895337218
88155708,3,4753356521299
88155708,4,4327430786966
49167269,1,haguilera@yahoo.com
49167269,2,2050927774692
96781753,1,wendolinrojo@hotmail.com
96781753,2,3715178201956
96781753,3,2021552266428
19391274,1,paola93@gmail.com
19068190,1,juancarreon@gmail.com
19068190,2,0745303745884
79538374,1,graciela75@gmail.com
40107691,1,alongoria@hotmail.com
40107691,2,5122055810700
40107691,3,2311976407137
40107691,4,0256914671312
40107691,5,5529303711387
34389058,1,villagomezamalia@hotmail.com
34389058,2,2850597785435
34389058,3,6269683935049
34389058,4,1859530500260
54307971,1,itzel40@gmail.com
70776607,1,raquel21@hotmail.com
50467976,1,luis-manuelherrera@gmail.com
50467976,2,9513896450673
75411442,1,hserrano@yahoo.com
72688038,1,saenzwilfrido@hotmail.com
72688038,2,9363128232956
72688038,3,0039777315626
72688038,4,1419452514222
72688038,5,7460534965278
54557406,1,beatriz07@hotmail.com
54557406,2,9502354909730
54557406,3,4787553034595
54557406,4,5036043394489
86618182,1,kmeraz@gmail.com
86618182,2,3034245487227
86618182,3,0023322260317
86618182,4,8694721868438
11373810,1,iolivas@yahoo.com
11373810,2,0870189754271
11373810,3,1443992227983
11373810,4,1224687711189
11373810,5,4274495401138
79007740,1,esparzacitlali@hotmail.com
79007740,2,6005687494975
20962968,1,loyayeni@yahoo.com
20962968,2,3122078508607
20962968,3,5858750337874
20962968,4,9815488094068
23247994,1,abelardolucero@hotmail.com
23247994,2,8173115869613
23247994,3,5029338561970
23247994,4,7301665268892
78400023,1,taparicio@hotmail.com
61430075,1,cescamilla@gmail.com
83736513,1,ariadna77@yahoo.com
83736513,2,4430545192599
14602344,1,aldonza39@yahoo.com
14602344,2,5116983414843
14602344,3,5913397037255
14602344,4,4494601798776
04191735,1,ydelgado@gmail.com
04191735,2,1593358246863
04191735,3,2361529640176
69743276,1,quinonezantonia@gmail.com
69743276,2,1629591900812
40375922,1,nanaya@yahoo.com
40375922,2,8956292174182
40375922,3,6139558701243
40375922,4,8911634310053
40375922,5,1979492352666
76241611,1,nurias@yahoo.com
76241611,2,2015106389163
76241611,3,9995914152033
76241611,4,5969064212695
36395910,1,elena38@yahoo.com
36395910,2,0784210483053
36395910,3,3143612257603
14038976,1,cardenasbeatriz@hotmail.com
14038976,2,0728700669620
62505406,1,ulloaantonio@hotmail.com
62505406,2,6535949607039
62505406,3,9001788344985
62505406,4,1109395264826
62505406,5,2847658952798
77588012,1,medranoesperanza@gmail.com
77588012,2,4821378772540
32527643,1,paguilar@yahoo.com
32527643,2,3251197250944
90884658,1,jacinto62@yahoo.com
90884658,2,7353068044659
90884658,3,4805578872689
90884658,4,2430029054147
48883276,1,paulinahinojosa@hotmail.com
10510032,1,oduenas@gmail.com
10510032,2,5421014842480
88312576,1,ariadnaolivo@hotmail.com
58357859,1,freyna@gmail.com
48308342,1,alfonso73@gmail.com
48308342,2,0134146289683
05545742,1,rufinoregalado@gmail.com
05545742,2,4287369795856
05545742,3,4367468262756
05545742,4,7547893648256
05545742,5,5943965936457
13469719,1,psolorio@hotmail.com
13469719,2,3534831728412
13469719,3,5041170944837
15694331,1,normaaltamirano@hotmail.com
15694331,2,7412677512441
15694331,3,5370718279080
07740152,1,fernandeztrinidad@yahoo.com
07740152,2,2031305764109
07740152,3,7774791037982
07740152,4,5447651677613
23211834,1,wcorrea@gmail.com
23211834,2,3223507566471
10428870,1,guadalupenevarez@yahoo.com
50288649,1,sierralorena@hotmail.com
48254137,1,yparedes@gmail.com
20903503,1,fidelgriego@yahoo.com
20903503,2,4274117819898
20903503,3,9738016831200
74082353,1,nazarioadan@gmail.com
74082353,2,4840727421985
74082353,3,3419597950857
93015851,1,xduran@yahoo.com
28053170,1,garibayluis@gmail.com
40963754,1,margarita53@hotmail.com
40963754,2,0512743034047
40963754,3,0217400758962
40963754,4,1199323430988
85101159,1,almaolivo@gmail.com
85101159,2,6413363177108
85101159,3,4501505645036
85101159,4,7833961990120
85101159,5,2809134555946
92484665,1,trevinotomas@yahoo.com
92484665,2,8501595440234
06845582,1,hernanmarrero@yahoo.com
06845582,2,5008774275988
20990640,1,dsierra@yahoo.com
17803847,1,laureanomiriam@hotmail.com
17803847,2,5985352488769
17803847,3,3197980774035
17803847,4,1367817696760
17803847,5,6031707272451
96046470,1,mariselabalderas@gmail.com
96046470,2,0018024239942
96046470,3,4706760384218
96046470,4,8861729167638
45992711,1,glorialerma@gmail.com
45992711,2,5097592412330
45992711,3,5512631218888
45992711,4,3621139853688
78636934,1,jose-maria04@hotmail.com
78636934,2,3746820113307
78636934,3,2706837011882
78636934,4,8666694783463
78636934,5,5721580001285
35045663,1,lorena03@hotmail.com
35045663,2,2111710074243
35045663,3,1605107435689
45942440,1,faragon@hotmail.com
45942440,2,5475473369707
45942440,3,2458501252288
67332373,1,vjimenez@hotmail.com
49810813,1,leticiaulloa@hotmail.com
49810813,2,6212878303414
74506910,1,adalbertosanabria@gmail.com
74506910,2,5676135233080
74506910,3,2336215504726
74506910,4,7507150780195
99351014,1,sonia45@hotmail.com
99351014,2,7047373825628
99351014,3,8434165840247
99351014,4,8952897973803
12498185,1,cristalibarra@yahoo.com
12498185,2,5411293031523
12498185,3,6107603895710
12498185,4,6389325436938
12498185,5,7894115084775
38770517,1,bquinones@hotmail.com
38770517,2,4603545299188
38770517,3,3027377768905
68482350,1,svargas@yahoo.com
68482350,2,4594242500437
68482350,3,4645844407801
68482350,4,2805860626495
38652356,1,linda71@yahoo.com
38652356,2,3493156363452
38652356,3,5344308415070
38652356,4,1905751874636
38652356,5,9744947148208
01582710,1,rubioevelio@yahoo.com
01582710,2,3645293165515
97397670,1,rufino13@hotmail.com
97397670,2,9122804827872
97397670,3,8898678452424
90689802,1,ulongoria@yahoo.com
90689802,2,6090918837201
90689802,3,4624841151046
90689802,4,1975763986328
90689802,5,6687307973363
33092515,1,vsisneros@gmail.com
33092515,2,1176723934474
33092515,3,2063799885505
33092515,4,8349422880729
33092515,5,0472227824673
92348882,1,lucia08@gmail.com
92348882,2,8320067672704
92348882,3,1130918312317
92348882,4,4210873143584
92348882,5,8816642597123
13316600,1,gustavovergara@yahoo.com
13316600,2,1578897408360
13316600,3,3231115134286
13316600,4,3506798014436
03383551,1,beatrizrodriguez@gmail.com
03383551,2,1488376472207
03383551,3,9708531448846
03383551,4,0378724701395
34567111,1,serratoconcepcion@gmail.com
34567111,2,2273597107525
34567111,3,9010470424302
34567111,4,2808197330465
67051595,1,huertaclaudio@hotmail.com
67185269,1,ccarrillo@hotmail.com
67185269,2,3598450648646
67185269,3,7458266707228
67185269,4,2455400297898
22704887,1,vicentevargas@gmail.com
90467820,1,lauraortega@hotmail.com
90467820,2,6226713555292
90467820,3,2598291049824
85581197,1,rebeca78@hotmail.com
70854725,1,trosales@hotmail.com
70854725,2,3216337741858
70854725,3,3393453899949
67960149,1,cynthia14@hotmail.com
67960149,2,6767491843091
67960149,3,7259434936333
67960149,4,0029335839895
67960149,5,4116021174170
55830867,1,zespino@yahoo.com
55830867,2,6328744697662
80507901,1,yanezmaria-eugenia@yahoo.com
80507901,2,0269626017886
80507901,3,0165006335864
01526066,1,espinojose@yahoo.com
01526066,2,0716301565043
36772834,1,gallardowilfrido@hotmail.com
09726437,1,emilio46@hotmail.com
09726437,2,3284511877767
09726437,3,6358075088819
09726437,4,4157241775350
09726437,5,1316892263823
58598047,1,jacinto57@yahoo.com
58598047,2,4589641211705
58598047,3,1908782702809
82523145,1,elisaespinoza@yahoo.com
43479030,1,gsevilla@gmail.com
43479030,2,5818527864135
43479030,3,6067776886564
88830605,1,homero23@hotmail.com
88830605,2,5045520537406
05949960,1,ortegaalta-gracia@hotmail.com
05949960,2,1602727151526
50506750,1,fernando22@yahoo.com
50506750,2,2529915671932
50506750,3,7218142114909
03834336,1,jesusmacias@gmail.com
03834336,2,1261164074586
03834336,3,1357356682812
55226394,1,eledesma@hotmail.com
48282307,1,jose-mariavigil@yahoo.com
48282307,2,3108503623428
48282307,3,0881679530398
48282307,4,8355426492917
48282307,5,8489784644447
99892449,1,lomelileonor@yahoo.com
06337506,1,dmayorga@yahoo.com
06337506,2,6779227122053
69726835,1,valverdealma@hotmail.com
69726835,2,7612675785478
69726835,3,2412795727936
69726835,4,9145126535136
69726835,5,8283543562943
64250847,1,jorgebarreto@yahoo.com
64250847,2,0962889376113
64250847,3,1988845433075
64250847,4,8847628009952
08364210,1,luzmunguia@yahoo.com
08364210,2,9681402355338
08364210,3,9550453969067
54540811,1,marisol19@yahoo.com
54540811,2,1123331312962
54540811,3,7954832235340
47790049,1,montoyaflavio@yahoo.com
32877762,1,danielpuga@hotmail.com
17602143,1,german77@gmail.com
17602143,2,4528875805906
17602143,3,6887984755124
17602143,4,9891025763316
75668334,1,aldolongoria@gmail.com
75668334,2,3231949762327
93820806,1,biancagonzales@gmail.com
26659503,1,diana69@gmail.com
26659503,2,1995677649081
26659503,3,6187446515538
50550944,1,salgadoadela@yahoo.com
50550944,2,9301113074370
50550944,3,6738943505399
50755332,1,vasquezhumberto@gmail.com
50755332,2,4505293700861
50755332,3,0392725229289
50755332,4,4164411722552
38902949,1,jacobo17@hotmail.com
38902949,2,4501333287723
38902949,3,8405252631003
38902949,4,9537415752475
38902949,5,3136124642777
71962436,1,luis-manuelarmas@gmail.com
71962436,2,5244640280799
71962436,3,9839387575088
71962436,4,0106810983304
27339411,1,medinaesperanza@yahoo.com
28065289,1,aparicioesparta@gmail.com
28065289,2,3185548906234
28065289,3,2024199321650
28065289,4,3547713458360
62601849,1,asuncioncervantes@hotmail.com
62601849,2,5016374439761
62601849,3,4452465185456
62601849,4,3953803859965
62601849,5,3624483856467
25837377,1,eayala@yahoo.com
25837377,2,8526436870683
25837377,3,5382914471216
30820609,1,arceliabaeza@hotmail.com
30820609,2,1044450228448
30820609,3,5624561571186
84966988,1,cguevara@gmail.com
84966988,2,2495460256752
84966988,3,4776694500238
84966988,4,4622670371737
84966988,5,7622769670171
61075023,1,qsepulveda@hotmail.com
61075023,2,9914200986204
61075023,3,8623274373110
61075023,4,0466126458403
14695223,1,ulemus@gmail.com
14695223,2,5118168150579
14695223,3,6807511969267
14695223,4,0589001488600
32241822,1,pestevez@gmail.com
32241822,2,8083049460008
32241822,3,0157696644047
32241822,4,7513635947980
32241822,5,0553779673997
47832251,1,olga78@yahoo.com
47832251,2,5875714461243
47832251,3,4058948729897
54145887,1,lilianasosa@yahoo.com
54145887,2,8301119874867
54145887,3,5750014329535
82197988,1,ursulaornelas@yahoo.com
82197988,2,8596440986404
82197988,3,4468090723915
82197988,4,1494083223613
37385279,1,abreufelix@gmail.com
37385279,2,4074359377453
37385279,3,2772731779373
88986999,1,xmontanez@hotmail.com
88986999,2,0298675454682
88986999,3,3803728183527
40347325,1,renato60@yahoo.com
40347325,2,6093883832392
40347325,3,4898755367908
40347325,4,7334135470272
40347325,5,4843751020819
13931124,1,maestasjulio-cesar@gmail.com
13931124,2,3763142811556
46746337,1,narguello@gmail.com
46746337,2,4383721757567
46746337,3,3821976903379
46746337,4,7544162395547
74025497,1,kabrego@gmail.com
74025497,2,5498680659162
10837443,1,zoe91@gmail.com
10837443,2,8710531194414
10837443,3,8163803272624
10837443,4,5270598426136
14496318,1,norma54@gmail.com
14496318,2,1033126707950
14496318,3,0924009647731
99933050,1,jose-mariacarbajal@gmail.com
99933050,2,7392634920550
99933050,3,6380464538321
99933050,4,2729917166526
99933050,5,4343210952346
13293253,1,noeliagalvez@hotmail.com
13293253,2,5925725158748
13293253,3,8693714882209
13293253,4,7932652538906
49631920,1,adrianabarreto@gmail.com
49631920,2,3575719904187
49631920,3,8124455950197
68511401,1,pedrazafrancisca@hotmail.com
68511401,2,1922848726801
68511401,3,7174939112845
68511401,4,4055971259863
68511401,5,2754353009422
54792333,1,rosarioabrego@gmail.com
54792333,2,5108796997097
54792333,3,9624545334119
76775246,1,olivogenaro@gmail.com
50308811,1,ksoria@yahoo.com
95278230,1,granadossara@gmail.com
95278230,2,7737298134755
95278230,3,4841468112571
95278230,4,8273932523405
57002453,1,enriquezteodoro@gmail.com
57002453,2,4481675320980
57002453,3,6917890194670
57002453,4,8745851028448
49276817,1,taguirre@hotmail.com
49276817,2,0594792344410
49276817,3,1591446185530
49276817,4,9103015413357
85489783,1,cornelio93@yahoo.com
85489783,2,9993378893178
85991491,1,raquel99@yahoo.com
85991491,2,8394741596187
85991491,3,3860835053905
53525505,1,marcospuente@yahoo.com
64609164,1,luisortiz@yahoo.com
64609164,2,4132145309292
64609164,3,5345662859413
64609164,4,4569442997477
26185330,1,andres97@hotmail.com
26185330,2,6020189820827
92099067,1,gollumfelipe@hotmail.com
92099067,2,9470528309371
92099067,3,3188942186939
18221435,1,noelia41@hotmail.com
18221435,2,4149043866812
18221435,3,3853690211883
18221435,4,1032380840520
18221435,5,6984440091384
26481630,1,corneliomontez@yahoo.com
26481630,2,1011576081476
26481630,3,6305116935993
26481630,4,4932941884130
37858735,1,ncasillas@hotmail.com
37858735,2,6051676936967
13135010,1,lourdes62@yahoo.com
13135010,2,9894496123504
13135010,3,4107302260831
68687816,1,pgalarza@gmail.com
68687816,2,5068524799151
68687816,3,0310635537528
68687816,4,5920843131362
13961961,1,calva@gmail.com
13961961,2,5066745937349
13961961,3,7158175793799
69530807,1,ode-la-torre@hotmail.com
09180703,1,leonorcarrero@yahoo.com
09180703,2,2765003035424
09180703,3,1000534472606
09180703,4,1114421840664
99108779,1,citlalipartida@yahoo.com
99108779,2,1107109015200
44507534,1,mercadomagdalena@gmail.com
53823281,1,miguel-angel56@gmail.com
99515812,1,arevalojudith@gmail.com
99515812,2,5757431415595
99515812,3,0185735342741
99515812,4,4549581339081
68508197,1,concepcion89@gmail.com
68508197,2,2708994505481
68508197,3,3046116299123
68508197,4,0015613171731
68508197,5,7601627063696
71868394,1,vasqueztrinidad@hotmail.com
71868394,2,8652670366102
71868394,3,1153950268375
71868394,4,6073379308974
71868394,5,4071412722314
98834174,1,padronivonne@yahoo.com
98834174,2,7457847945540
98834174,3,8479225769169
81318322,1,herreraveronica@hotmail.com
81318322,2,3389598730732
81318322,3,6916713454753
81318322,4,2408450023439
81318322,5,3203224712495
83863110,1,vpalacios@yahoo.com
83863110,2,0679285834813
83863110,3,5286529618047
75270933,1,miramontesignacio@hotmail.com
75270933,2,8061724694460
75270933,3,8449483097215
75270933,4,7106167553974
80019435,1,camiloserrano@gmail.com
80019435,2,4339572377969
95101903,1,miriamsauceda@gmail.com
95101903,2,9476454758802
95101903,3,4246914840274
95101903,4,1331009178376
95101903,5,0330446072527
17964715,1,wchavez@yahoo.com
17964715,2,5848765145942
17964715,3,9592932260550
17964715,4,2557204445078
17964715,5,5295611650279
09596610,1,hermelinda74@gmail.com
39585318,1,felipecervantez@yahoo.com
39585318,2,3045523026484
39585318,3,9466372720623
39585318,4,5840586123094
39585318,5,0899175634026
26020631,1,deboraroldan@yahoo.com
26020631,2,3077358254045
26020631,3,9884467585066
26020631,4,0951195343293
26020631,5,0737708975410
24620826,1,carmen07@gmail.com
24620826,2,4073199568591
45831225,1,asuncionulloa@gmail.com
45831225,2,1098965275002
45831225,3,7501639483069
67226887,1,jose-manuelnunez@hotmail.com
15547934,1,josmatias@yahoo.com
00370912,1,martinvaldez@gmail.com
03926710,1,julio-cesarbarraza@hotmail.com
03926710,2,7696870030479
03926710,3,7841431345109
03926710,4,5766752143584
71479507,1,izarate@yahoo.com
71479507,2,7781760623808
71479507,3,4802295972522
71479507,4,2243605441517
71479507,5,8390475255862
46871039,1,ivan85@yahoo.com
46871039,2,4409465485513
46871039,3,7846827719767
46871039,4,3829602038165
52476891,1,tcarrion@gmail.com
52476891,2,0016483758284
52476891,3,8665354362072
13245566,1,ngaona@yahoo.com
13245566,2,0891317102274
13245566,3,2252080583239
13245566,4,6850418228505
57465500,1,ibenavidez@hotmail.com
57465500,2,3255348395599
57465500,3,5669757856249
57465500,4,3564153085760
70884289,1,ssauceda@yahoo.com
70884289,2,7943673590816
18026580,1,teranpamela@gmail.com
18026580,2,3512527837858
18026580,3,7411520945431
18026580,4,0371516896696
68867515,1,quezadajose@hotmail.com
68867515,2,8639650989208
59485216,1,leivafabiola@gmail.com
13747596,1,leoneltamayo@yahoo.com
13747596,2,5504904749974
45483783,1,martin37@yahoo.com
45483783,2,8710869935450
74081851,1,mauro07@yahoo.com
74081851,2,4050817379961
74081851,3,7795382653298
74081851,4,0058378980759
44264987,1,ramonguzman@gmail.com
44264987,2,3171990807583
44264987,3,5549365550793
44264987,4,8258016927350
48663557,1,cynthiareynoso@hotmail.com
48663557,2,3798400099320
48663557,3,4153928897360
48663557,4,2711453287625
48663557,5,6737990042782
17082181,1,monroygloria@gmail.com
17082181,2,3425361616512
17082181,3,1192107331858
17082181,4,0824767930351
56478464,1,faponte@yahoo.com
56478464,2,5018417102727
56478464,3,8821759153074
18383256,1,hceja@gmail.com
18383256,2,9368170702105
18383256,3,9528525156869
18383256,4,1510611282890
98168484,1,rparedes@hotmail.com
87483864,1,rocioriojas@yahoo.com
87483864,2,1906885551205
87483864,3,8808848641711
87483864,4,4135233299625
04415220,1,sergio09@hotmail.com
04415220,2,8925616975156
04415220,3,5755597781432
52345791,1,navarroadriana@gmail.com
52345791,2,0186350380498
52345791,3,8424270171341
07617690,1,sanchezoliver@yahoo.com
93799553,1,savila@gmail.com
93799553,2,1593107817714
93799553,3,0560346580489
93799553,4,8259996207309
93799553,5,5771832389736
36025749,1,hernan31@yahoo.com
36025749,2,6432207421136
36025749,3,7320737144231
36025749,4,8844197338087
15096739,1,margaritabarrios@gmail.com
15096739,2,5097370794196
15096739,3,1318386633141
83047848,1,carlacastillo@hotmail.com
17039390,1,pizarrodaniela@hotmail.com
17039390,2,4115271959881
17039390,3,6391456858228
17039390,4,6855612762672
17039390,5,5928762105290
27659694,1,omar39@hotmail.com
27659694,2,6413837478214
27659694,3,4986481099447
99171513,1,laureanogabriela@yahoo.com
99171513,2,5482692019038
99171513,3,8530066969477
99171513,4,2196811621661
99171513,5,0857185941785
12253319,1,maresjose-carlos@hotmail.com
12253319,2,7134390448896
27659762,1,violetaibarra@gmail.com
58214268,1,jolmos@hotmail.com
71069944,1,israelmaldonado@hotmail.com
71069944,2,5629912897192
71069944,3,1660672840973
71069944,4,1614977847085
14902697,1,graciela72@hotmail.com
91045003,1,enriqueruiz@hotmail.com
91045003,2,9453332183163
91045003,3,8383717176742
91045003,4,2919265846354
32348750,1,lorenzoguajardo@hotmail.com
32348750,2,6028287988275
32348750,3,1069826173825
32348750,4,0589129023098
92817012,1,marcoscollazo@gmail.com
92817012,2,7411347318980
92817012,3,1460508220185
92817012,4,8320518136496
41938751,1,loyaalfonso@hotmail.com
41938751,2,2328354614611
41938751,3,8806159365505
19553818,1,kfajardo@yahoo.com
58863558,1,mharo@gmail.com
58863558,2,6254247640673
58863558,3,7207176796021
58863558,4,2070841462330
14521966,1,arenasgeronimo@yahoo.com
14521966,2,4419911673724
45667688,1,ubrito@gmail.com
45667688,2,1026708005693
45667688,3,3506825262052
45667688,4,6966324412634
74833832,1,dterrazas@gmail.com
74833832,2,2333197279507
74833832,3,4741798857651
74833832,4,1483162662734
74833832,5,2573536461434
78131941,1,flavio19@hotmail.com
38662553,1,oromero@hotmail.com
38662553,2,6391675762206
38662553,3,0516936953193
21037368,1,santacruzsergio@yahoo.com
21037368,2,5932611494624
21037368,3,0648909997742
81167548,1,benjaminpadron@hotmail.com
81167548,2,7852561821355
81167548,3,8677869632490
85431423,1,arturo00@hotmail.com
85431423,2,9830045248923
85431423,3,2135351088637
85431423,4,7991134026090
87251975,1,alfredocuellar@gmail.com
87251975,2,8279051191105
87251975,3,3874227858740
87251975,4,8890249517420
92576902,1,susanavarela@yahoo.com
78001237,1,dluevano@yahoo.com
05219452,1,lopezleonel@gmail.com
05219452,2,2087951413669
05219452,3,9752813458268
54030176,1,pbaca@yahoo.com
88210995,1,zacariasvazquez@gmail.com
88210995,2,9169588464752
88210995,3,5158396078110
88210995,4,4543480818516
99417116,1,nayelirodarte@yahoo.com
99417116,2,0846047691008
99417116,3,7977111311786
23629936,1,maria-elenamartinez@yahoo.com
58036099,1,zaguayo@hotmail.com
99626952,1,vjuarez@gmail.com
99626952,2,6259347074159
99626952,3,7029053098902
99626952,4,2093480243181
00581929,1,jaimewilfrido@gmail.com
00581929,2,1386403744257
00581929,3,5129527625989
00581929,4,3916129616426
00581929,5,1540625254218
81610143,1,mauricioserrato@gmail.com
81610143,2,0591549400540
81610143,3,9636120404883
81610143,4,5914492906196
21373794,1,aldonzaalonzo@hotmail.com
21373794,2,9154905823656
89004708,1,felix38@yahoo.com
89004708,2,3603301380108
89004708,3,0109685541307
89004708,4,4778087348398
01290301,1,virginia52@hotmail.com
01290301,2,7320533828360
01290301,3,9413157519479
01290301,4,5553698582290
01290301,5,7995516434738
77476418,1,rosadocristal@hotmail.com
77476418,2,4249062099092
77476418,3,2448463118369
77476418,4,4935800796841
77476418,5,4195227448967
87833195,1,rosa33@gmail.com
87833195,2,1716607130070
45909177,1,gmontenegro@hotmail.com
95113272,1,nadialozada@gmail.com
95113272,2,7826281449260
95113272,3,5338572532662
95113272,4,6094752348248
46496836,1,camposirene@yahoo.com
46496836,2,2377582511915
72415252,1,qpantoja@yahoo.com
72415252,2,7557091773784
72415252,3,3145956662184
72415252,4,5315537782916
77396785,1,vcortes@gmail.com
77396785,2,6491911084154
77396785,3,2695530791716
77396785,4,3071870218457
77396785,5,1963292061395
19850542,1,sbenavidez@hotmail.com
19850542,2,2750432787857
62910989,1,ana-maria55@hotmail.com
62910989,2,3944856339895
62910989,3,6688486268557
99257125,1,celiaperes@hotmail.com
99257125,2,2115739201222
74774326,1,lomelimarco-antonio@gmail.com
74774326,2,7902404036830
74774326,3,0970320434774
74774326,4,2011961268237
37019495,1,sandra71@yahoo.com
