cod_cliente,clt_nombre,clit_apellido_paterno,clit_apellido_materno,clt_fec_nac,clt_direcc,clt_sexo,clt_pais_nac,clt_nacionalidad,clt_tipo,clt_razon_social,clt_fec_constitucion
53739612,Estela,Colón,Gallardo,1934-12-19,Corredor Hidalgo 276 Interior 648 -- Nueva Sudán --  MICH 90287,M,México,México,1,,
74965670,Rocío,Tovar,Chávez,1985-02-23,Ampliación Navarro 991 526 -- Nueva Chad --  COAH 37830-2615,M,México,México,1,,
73293804,Marcos,Vigil,Lomeli,1937-08-10,Continuación Quesada 167 679 -- San Bianca los bajos --  Q. ROO 18015-6509,M,México,México,1,,
95595900,Cristian,Brito,Nieves,1914-01-05,Privada Piña 094 052 -- Nueva Seychelles --  GRO 43845,M,México,México,1,,
86868150,Genaro,Dueñas,Ceja,1911-08-29,Circunvalación Estrada 800 Edif. 955  --  Depto. 626 -- Vieja Bahrein --  COL 25469,M,México,México,1,,
09869615,Lourdes,Portillo,Rentería,1939-01-03,Corredor Sevilla 589 Edif. 871  --  Depto. 438 -- Nueva República Centroafricana --  QRO 42267,M,México,México,1,,
88501529,Alejandra,Valencia,Salgado,1954-05-07,Prolongación Sonora 858 Interior 647 -- San Adán de la Montaña --  Q. ROO 41528-7671,M,México,México,1,,
16448537,Magdalena,Esquivel,Adame,1958-01-20,Circuito Haro 411 Interior 434 -- San Agustín los bajos --  TAMPS 27940,M,México,México,1,,
89476420,Agustín,Acosta,Mora,2000-11-23,Avenida Norte Pantoja 469 Interior 432 -- Nueva Pakistán --  JAL 97994,M,México,México,1,,
48610964,María del Carmen,Ríos,Alba,1987-02-25,Circuito Swazilandia 912 502 -- Nueva Etiopía --  SON 94444,M,México,México,1,,
72862582,José Manuél,Ojeda,Cepeda,1924-12-23,Callejón Ayala 257 426 -- Vieja Albania --  TAB 20332-0860,M,México,México,1,,
34393536,Anel,Aguilar,Quiroz,1920-07-10,Eje vial Norte Valladares 355 Edif. 630  --  Depto. 782 -- San Noemí los altos --  BCS 15237-7642,M,México,México,1,,
25427028,Óscar,Nieto,Covarrubias,1947-12-28,Privada Norte Bustos 220 Interior 005 -- San Raquel de la Montaña --  HGO 86614,M,México,México,1,,
75085865,Perla,Vanegas,Mata,1919-01-07,Eje vial Sur Arroyo 373 Edif. 115  --  Depto. 658 -- Vieja Nueva Zelandia --  TAMPS 74356,M,México,México,1,,
09819139,Camilo,Pichardo,Rivero,1984-10-02,Corredor Baja California Sur 736 Interior 286 -- San Caridad de la Montaña --  AGS 25067-5818,M,México,México,1,,
74351343,Inés,Batista,Miramontes,1991-01-11,Calle Sur Mojica 826 Interior 917 -- San Eduardo de la Montaña --  HGO 93171,M,México,México,1,,
29085972,Ariadna,Santillán,Alcántar,1965-03-12,Circuito Sur Valles 980 832 -- Nueva Samoa --  MICH 36067-3714,M,México,México,1,,
34112335,Juan,Apodaca,Tovar,1966-08-25,Eje vial Sur Ramírez 366 104 -- San Zacarías los altos --  TAMPS 23320-0695,M,México,México,1,,
98405282,Esmeralda,Ulibarri,Sanches,1952-07-16,Eje vial Carrero 109 Interior 632 -- Nueva Indonesia --  VER 17696,M,México,México,1,,
63339475,Porfirio,Otero,Polanco,1956-09-17,Boulevard Vázquez 056 842 -- San Eric los altos --  AGS 89797,M,México,México,1,,
55130943,Amalia,Zedillo,Bétancourt,1983-01-21,Cerrada Chile 679 Interior 443 -- Vieja Somalia --  COAH 58524-2380,M,México,México,1,,
75805753,Elena,Velasco,Mayorga,1963-04-03,Avenida de Jesús 552 373 -- San Alta  Gracia los bajos --  BCS 52898,M,México,México,1,,
88539386,Diego,Anaya,Irizarry,1919-11-03,Diagonal Guillen 826 038 -- Vieja Camboya --  DGO 89320-2793,M,México,México,1,,
14174551,José María,Guevara,Ramón,1997-06-28,Circunvalación Baja California Sur 993 Interior 333 -- Vieja México --  SLP 46826-6238,M,México,México,1,,
68379032,Leonor,Leyva,Reyes,1948-07-12,Avenida Laboy 892 Edif. 134  --  Depto. 043 -- San Yuridia los altos --  TLAX 71401,M,México,México,1,,
18702347,Linda,Rodrígez,Altamirano,1931-05-29,Andador Flores 144 914 -- San Zoé de la Montaña --  DGO 46046-2749,M,México,México,1,,
94109290,Zoé,Valadez,Hurtado,1931-10-14,Cerrada Camerún 665 Edif. 690  --  Depto. 208 -- San Úrsula de la Montaña --  BC 35754,M,México,México,1,,
23513433,Barbara,Reséndez,Bañuelos,1972-07-10,Diagonal Armenia 295 Edif. 345  --  Depto. 375 -- Nueva República Popular Democrática de Corea --  NL 64208,M,México,México,1,,
27197493,Leonor,Vigil,Campos,1907-04-25,Calzada Guerrero 352 Interior 399 -- Vieja Qatar --  TLAX 97761,M,México,México,1,,
08958709,Yuridia,Roque,Mateo,1905-09-21,Prolongación Jalisco 052 Edif. 693  --  Depto. 451 -- Vieja San Marino --  MOR 49987-8605,M,México,México,1,,
07870798,Abelardo,Frías,Mendoza,1988-03-08,Periférico Bahamas 026 Edif. 056  --  Depto. 208 -- Vieja Marruecos --  ZAC 95020,M,México,México,1,,
88155708,Zacarías,Adame,Lozano,1996-02-23,Eje vial Chihuahua 258 Edif. 374  --  Depto. 509 -- San Aida de la Montaña --  HGO 23542-9675,M,México,México,1,,
49167269,Mayte,Negrón,Calderón,1957-07-25,Retorno Norte Alvarez 220 Edif. 821  --  Depto. 537 -- San Karina los bajos --  TAB 18337-2948,M,México,México,1,,
96781753,María,Pérez,Santana,1923-05-20,Peatonal Quintana Roo 297 770 -- San Helena los bajos --  DGO 31143-5947,M,México,México,1,,
19391274,Cynthia,López,Alvarez,1942-04-22,Viaducto Yucatán 870 317 -- San Esperanza los bajos --  DGO 50447,M,México,México,1,,
19068190,Estefanía,Carrillo,Nieto,1941-04-15,Periférico Gambia 193 Interior 235 -- San Gerónimo de la Montaña --  MEX 96297,M,México,México,1,,
79538374,Gerónimo,Alva,Muro,1912-11-21,Ampliación Nuevo León 802 Edif. 174  --  Depto. 327 -- Vieja Rumania --  NL 47896,M,México,México,1,,
40107691,Eric,Bernal,Méndez,1941-10-15,Boulevard Sur Madera 418 638 -- San Jonás los altos --  ZAC 88719,M,México,México,1,,
34389058,Rodrigo,Guardado,Padilla,1959-04-26,Calzada Santacruz 130 Edif. 100  --  Depto. 392 -- San Carolina los altos --  MOR 95027,M,México,México,1,,
54307971,Nadia,Estrada,Benavides,1921-05-26,Continuación Martínez 458 Edif. 741  --  Depto. 051 -- San David los altos --  COAH 25658,M,México,México,1,,
70776607,Minerva,Urbina,Soliz,1921-02-05,Prolongación Norte Iglesias 314 Interior 233 -- San Abigail los altos --  SLP 36897,M,México,México,1,,
50467976,Cristina,Villegas,Lara,1979-09-22,Circunvalación Niger 685 Interior 712 -- San Miguel Ángel de la Montaña --  JAL 22654,M,México,México,1,,
75411442,Gerónimo,Partida,Luna,1910-07-30,Boulevard Guinea 374 Interior 118 -- San Federico los altos --  NL 47276-9370,M,México,México,1,,
72688038,Benjamín,Quiroz,Martínez,1932-04-04,Eje vial Ortega 798 294 -- San David los altos --  YUC 97615-5060,M,México,México,1,,
54557406,Karla,Cardona,Negrón,1959-01-22,Pasaje Norte Hernandes 066 046 -- San Rosalia los bajos --  DF 31304,M,México,México,1,,
86618182,Luis Miguel,Portillo,Vanegas,1946-09-18,Corredor San Vicente y las Granadinas 268 Edif. 075  --  Depto. 516 -- Nueva Finlandia --  MEX 18749-7058,M,México,México,1,,
11373810,Asunción,Roybal,Dávila,1942-07-23,Callejón Libia 497 Interior 316 -- San María José de la Montaña --  OAX 62700,M,México,México,1,,
79007740,Marisela,Bueno,Farías,1914-05-01,Avenida Elizondo 606 Interior 114 -- San Rebeca los bajos --  MEX 76291,M,México,México,1,,
20962968,Dulce María,Herrera,Bernal,1944-06-24,Cerrada Sur Miramontes 137 Interior 640 -- San Bruno de la Montaña --  PUE 56702,M,México,México,1,,
23247994,César,Juárez,Aragón,1909-05-25,Periférico Swazilandia 103 Interior 858 -- Vieja Nueva Zelandia --  GTO 21646,M,México,México,1,,
78400023,Karina,Sosa,Galindo,1918-03-05,Privada León 882 307 -- San Fabiola de la Montaña --  GTO 28639-3817,M,México,México,1,,
61430075,Federico,Negrete,Torres,1972-01-06,Callejón Georgia 932 Edif. 430  --  Depto. 257 -- San Araceli los bajos --  HGO 19719-5361,M,México,México,1,,
83736513,Gregorio,Casanova,Meza,1913-02-26,Peatonal Uzbekistán 767 Interior 172 -- Vieja Santo Tomé y Príncipe --  Q. ROO 33336-4978,M,México,México,1,,
14602344,Alfredo,Palacios,Reyna,1998-10-06,Continuación Sur Caballero 541 935 -- Nueva Ecuador --  JAL 29512,M,México,México,1,,
04191735,Aldo,Espinal,Loya,1948-09-28,Circunvalación Venegas 224 Edif. 993  --  Depto. 421 -- San Nayeli los altos --  AGS 61959,M,México,México,1,,
69743276,Aida,Montañez,Haro,1964-04-19,Ampliación Nayarit 167 Interior 137 -- San Dolores de la Montaña --  BC 39469,M,México,México,1,,
40375922,Adriana,Bañuelos,Fuentes,1949-09-01,Circuito Vera 005 860 -- San Rafaél los bajos --  CHIH 78545,M,México,México,1,,
76241611,Porfirio,Ramírez,Córdova,1972-10-24,Prolongación Norte Rosado 975 Edif. 450  --  Depto. 757 -- San Fidel los bajos --  TAB 17517,M,México,México,1,,
36395910,Perla,Reséndez,Caraballo,1933-05-17,Circuito Ozuna 570 973 -- San Elvira los altos --  OAX 07235,M,México,México,1,,
14038976,Lourdes,Covarrubias,Partida,2003-05-13,Continuación Baja California Sur 887 Interior 526 -- Vieja Arabia Saudita --  GRO 79490-6859,M,México,México,1,,
62505406,Patricio,Verduzco,Beltrán,1928-03-16,Peatonal Márquez 440 Interior 680 -- San Bruno de la Montaña --  DGO 32586-6563,M,México,México,1,,
77588012,Augusto,Ramón,Puga,1954-01-25,Continuación Casillas 835 Interior 192 -- San Elisa los bajos --  HGO 67887-9492,M,México,México,1,,
32527643,Hugo,Coronado,Nazario,1923-04-20,Circunvalación Sur Cervántez 447 Edif. 750  --  Depto. 310 -- Vieja República Centroafricana --  CHIH 37834-9043,M,México,México,1,,
90884658,Marcos,Maldonado,Ortega,1910-09-06,Calzada Coahuila de Zaragoza 630 Interior 390 -- Nueva Grecia --  MOR 41080,M,México,México,1,,
48883276,Aida,Marín,Rodarte,1947-09-07,Eje vial Briones 290 563 -- Nueva Granada --  BC 62520-6491,M,México,México,1,,
10510032,Cornelio,Chavarría,Paredes,1975-10-22,Pasaje Norte Pulido 470 Interior 262 -- Nueva Pakistán --  Q. ROO 85893,M,México,México,1,,
88312576,Caridad,Longoria,Zamora,1911-10-22,Avenida Querétaro 381 Interior 725 -- San Amalia los bajos --  OAX 12820,M,México,México,1,,
58357859,Ana Luisa,Guevara,Vélez,1915-11-03,Retorno Mauritania 246 Interior 226 -- San Esteban los bajos --  SIN 26138-3967,M,México,México,1,,
48308342,Cristina,Alemán,Rincón,1969-07-23,Circuito Nayarit 524 Interior 477 -- San David los bajos --  TAB 99399,M,México,México,1,,
05545742,Francisco Javier,Vázquez,Mercado,1991-12-14,Peatonal del Valle 416 Interior 380 -- Nueva Singapur --  SLP 21485,M,México,México,1,,
13469719,Jesús,Collazo,Alejandro,1917-09-26,Privada Mozambique 447 004 -- San Pablo los altos --  BC 01738-8243,M,México,México,1,,
15694331,Elias,Portillo,Tapia,1932-11-10,Cerrada Sur Monroy 437 092 -- Nueva Jordania --  JAL 04515,M,México,México,1,,
07740152,Renato,Loya,Villalpando,1929-05-16,Andador Perú 027 Edif. 807  --  Depto. 706 -- San Gregorio de la Montaña --  BCS 70441,M,México,México,1,,
23211834,Eloisa,Valladares,Castañeda,1975-05-16,Eje vial Tamaulipas 485 428 -- Vieja Argentina --  DF 86114-3804,M,México,México,1,,
10428870,Salvador,Portillo,Sisneros,1931-10-24,Cerrada Beltrán 538 Edif. 963  --  Depto. 109 -- Nueva Somalia --  CHIH 04313,M,México,México,1,,
50288649,Carlota,Marín,Bustamante,1948-09-04,Eje vial Tlaxcala 025 275 -- Nueva Kirguistán --  MOR 02812,M,México,México,1,,
48254137,Héctor,Lara,Solano,1972-10-19,Calzada Sur Roque 492 688 -- San Gilberto los bajos --  TAMPS 88253,M,México,México,1,,
20903503,Serafín,Salinas,Narváez,1936-07-21,Retorno Afganistán 665 490 -- Vieja Nicaragua --  GTO 32160,M,México,México,1,,
74082353,Martín,Pichardo,Ordóñez,1916-06-26,Viaducto Sur Corrales 607 748 -- San Luis Manuel de la Montaña --  TAMPS 72782-7603,M,México,México,1,,
93015851,Andrés,Ramírez,Rincón,1923-02-26,Ampliación Cuba 727 Edif. 192  --  Depto. 969 -- San Nancy de la Montaña --  MEX 24811-5653,M,México,México,1,,
28053170,Inés,Elizondo,Villanueva,1921-08-03,Boulevard Limón 509 Interior 293 -- Nueva Sierra Leona --  HGO 36111,M,México,México,1,,
40963754,Octavio,Contreras,Sandoval,1928-11-03,Eje vial Velásquez 165 Edif. 604  --  Depto. 728 -- San Alma de la Montaña --  JAL 65515,M,México,México,1,,
85101159,Humberto,Angulo,Barajas,1910-01-10,Cerrada Veracruz de Ignacio de la Llave 845 Edif. 286  --  Depto. 534 -- San Alfredo de la Montaña --  NL 02444,M,México,México,1,,
92484665,Ángel,Durán,Hernádez,1923-02-26,Circunvalación Durango 233 485 -- Vieja Canadá --  YUC 53659,M,México,México,1,,
06845582,Jorge Luis,Arellano,Guevara,1984-03-06,Diagonal Estonia 147 Interior 806 -- Nueva Burkina Faso --  TAB 95366-4121,M,México,México,1,,
20990640,Mauricio,Batista,Mascareñas,1927-11-26,Calle Guerrero 881 Interior 241 -- San Jonás los bajos --  QRO 64479,M,México,México,1,,
17803847,Victoria,Jaimes,Valles,2000-09-01,Circuito Sur Rojo 847 Edif. 790  --  Depto. 644 -- San Araceli los altos --  SIN 65559-1574,M,México,México,1,,
96046470,Alfonso,Rosas,Olivo,2003-03-18,Prolongación Hidalgo 745 Interior 531 -- Vieja Mauritania --  DF 61122,M,México,México,1,,
45992711,Isabela,Batista,Montenegro,1935-11-21,Diagonal Rosario 770 Interior 616 -- San Benito los bajos --  BC 96366,M,México,México,1,,
78636934,Liliana,de la Crúz,Trejo,1954-03-22,Corredor Tamaulipas 972 Interior 072 -- San René los altos --  PUE 67384-7021,M,México,México,1,,
35045663,Jos,Botello,Haro,1907-01-30,Ampliación Grecia 046 Edif. 700  --  Depto. 443 -- Vieja Armenia --  COAH 68767-3868,M,México,México,1,,
45942440,Serafín,Garica,García,1962-04-14,Corredor Becerra 624 Interior 532 -- Nueva Fiji --  GTO 47086-3949,M,México,México,1,,
67332373,Sergio,Sotelo,Zedillo,1906-08-14,Viaducto Iraq 283 364 -- Vieja República Árabe Siria --  DGO 29497-8914,M,México,México,1,,
49810813,Javier,Mendoza,Ornelas,1927-01-04,Avenida Rosales 297 Interior 118 -- Vieja Luxemburgo --  SON 34799-9486,M,México,México,1,,
74506910,Diana,Caraballo,Cabán,1953-12-30,Prolongación Ríos 234 586 -- San Sergio los altos --  MEX 46550,M,México,México,1,,
99351014,Lorenzo,Zambrano,Rangel,1907-05-04,Calle Querétaro 105 Interior 871 -- San Guillermina los bajos --  BCS 41914-9835,M,México,México,1,,
12498185,Francisco,Saldaña,Bétancourt,1993-03-01,Ampliación Norte Aranda 236 Edif. 416  --  Depto. 063 -- Nueva Ghana --  SON 14152-1140,M,México,México,1,,
38770517,Noelia,Tejeda,Sisneros,1962-09-25,Calzada Norte Bañuelos 723 Edif. 037  --  Depto. 810 -- San Jaime de la Montaña --  HGO 95963,M,México,México,1,,
68482350,Diego,Luna,Ayala,1984-03-09,Prolongación San Vicente y las Granadinas 718 Interior 181 -- San Abril de la Montaña --  DGO 68492-0615,M,México,México,1,,
38652356,Perla,Rico,Fierro,2003-01-13,Peatonal Zimbabwe 053 Interior 700 -- San Ignacio de la Montaña --  AGS 37366,M,México,México,1,,
01582710,Benito,Granados,Bermúdez,1942-08-04,Circunvalación Andorra 825 853 -- San Gabriel los bajos --  CHIS 22817-2883,M,México,México,1,,
97397670,Linda,Mondragón,Villareal,1923-07-23,Callejón Norte Echeverría 792 Interior 011 -- Nueva Andorra --  DF 44175,M,México,México,1,,
90689802,Helena,Figueroa,Acevedo,1954-12-21,Callejón Norte Leal 456 Interior 654 -- Vieja Noruega --  DGO 68592-9032,M,México,México,1,,
33092515,Óscar,Vallejo,Muñoz,1959-12-16,Viaducto Norte Orosco 338 Interior 849 -- Nueva Noruega --  YUC 11561-3306,M,México,México,1,,
92348882,Abril,Acosta,Paredes,1934-08-08,Boulevard Turkmenistán 938 291 -- Vieja Kuwait --  SIN 50637-5368,M,México,México,1,,
13316600,Darío,Zambrano,Arellano,1964-03-04,Retorno San Luis Potosí 892 Edif. 018  --  Depto. 673 -- San Josefina los altos --  SLP 66994-5123,M,México,México,1,,
03383551,Marcos,Díaz,Galindo,1952-01-20,Ampliación Tlaxcala 311 Interior 872 -- Vieja Armenia --  TAB 76961-3033,M,México,México,1,,
34567111,Horacio,Garrido,Corral,1982-03-16,Circuito Sur Acuña 857 628 -- San Cornelio los bajos --  ZAC 81101,M,México,México,1,,
67051595,Horacio,Zamora,Márquez,1996-03-20,Avenida Estados Unidos de América 194 523 -- Nueva Islas Marshall --  CHIS 37396-8241,M,México,México,1,,
67185269,Zeferino,Salas,Roque,1913-01-20,Cerrada Sevilla 521 Edif. 560  --  Depto. 883 -- Nueva Granada --  OAX 52554-6761,M,México,México,1,,
22704887,Marcos,Ávila,Valencia,1936-07-02,Boulevard Veracruz de Ignacio de la Llave 777 984 -- San Esther de la Montaña --  NL 36300-6031,M,México,México,1,,
90467820,Uriel,Delgadillo,Navarro,1982-01-17,Periférico Norte Lebrón 090 423 -- Vieja Burkina Faso --  ZAC 36477-9045,M,México,México,1,,
85581197,Yuridia,Llamas,Rivera,1908-05-31,Calle Norte Saiz 180 Edif. 032  --  Depto. 076 -- San Rubén los altos --  TLAX 84262-9960,M,México,México,1,,
70854725,Ilse,Arriaga,Zelaya,1969-02-14,Eje vial Norte Perales 238 Edif. 385  --  Depto. 182 -- San Marcos de la Montaña --  PUE 97584-7687,M,México,México,1,,
67960149,Javier,Muro,Sarabia,1978-12-19,Prolongación Norte Ávila 557 Interior 988 -- San Sonia de la Montaña --  CHIS 97551-9783,M,México,México,1,,
55830867,Leticia,Salas,Hidalgo,1929-04-12,Periférico Sonora 321 Interior 130 -- San Ángel los bajos --  SIN 08656,M,México,México,1,,
80507901,Rafaél,Avilés,Gollum,1970-05-01,Calzada Sonora 098 Interior 030 -- Vieja Mónaco --  COL 50933,M,México,México,1,,
01526066,Isaac,Quintana,Ávila,1923-02-01,Eje vial Nuevo León 599 Edif. 461  --  Depto. 697 -- Nueva Bahrein --  NL 87367,M,México,México,1,,
36772834,Adán,Muñoz,Méndez,1962-01-26,Corredor Valle 393 150 -- San Felipe de la Montaña --  AGS 08786-4505,M,México,México,1,,
09726437,Roberto,Serna,Luna,1943-04-05,Circunvalación Chile 930 Edif. 332  --  Depto. 332 -- Nueva Afganistán --  TAB 01714,M,México,México,1,,
58598047,Aldo,García,Osorio,1983-03-05,Diagonal Ochoa 766 Edif. 698  --  Depto. 765 -- Vieja Luxemburgo --  BC 37925-0643,M,México,México,1,,
82523145,Fidel,Maldonado,Ojeda,1921-08-30,Avenida Guerrero 423 Interior 505 -- Vieja Mauricio --  NL 18485-8543,M,México,México,1,,
43479030,Lucas,Guerrero,Godoy,1986-03-03,Continuación Norte González 637 344 -- Vieja República Árabe Siria --  DF 77397,M,México,México,1,,
88830605,Guillermina,Montero,Roque,1941-07-17,Circunvalación Sur Ybarra 605 110 -- Vieja Estados Unidos de América --  SON 33051-8550,M,México,México,1,,
05949960,Claudia,Dávila,Barrientos,1960-03-18,Viaducto Camboya 245 974 -- San Zacarías los bajos --  MEX 76849-1542,M,México,México,1,,
50506750,Samuel,del Río,Zarate,1910-07-13,Retorno Menchaca 771 Edif. 657  --  Depto. 965 -- Vieja República Popular Democrática de Corea --  CHIH 10770-4420,M,México,México,1,,
03834336,Carolina,Arriaga,Barajas,1915-06-05,Andador Kuwait 477 895 -- Nueva Libia --  QRO 34500-8984,M,México,México,1,,
55226394,Antonio,Sáenz,Ulloa,1996-11-05,Ampliación Norte Vaca 765 055 -- Vieja Argelia --  AGS 83805,M,México,México,1,,
48282307,María del Carmen,Jiménez,Morales,1954-05-08,Circuito Peralta 524 Interior 881 -- Nueva Madagascar --  MICH 13428-3029,M,México,México,1,,
99892449,Rosa,Hidalgo,Santillán,1950-05-07,Cerrada Costa Rica 315 Interior 130 -- Vieja Kirguistán --  SON 40177-9428,M,México,México,1,,
06337506,Gabino,Botello,Lugo,1954-06-17,Continuación Granados 855 Edif. 355  --  Depto. 842 -- Nueva Líbano --  JAL 41903-1302,M,México,México,1,,
69726835,Julio César,Palomino,Briseño,1960-08-17,Callejón Prieto 154 Edif. 131  --  Depto. 502 -- San María Elena de la Montaña --  TLAX 44077,M,México,México,1,,
64250847,Caridad,Vela,Henríquez,1994-01-11,Ampliación Sur Raya 317 475 -- San Gabriel los altos --  Q. ROO 63832,M,México,México,1,,
08364210,Isaac,Ocasio,Rodarte,1995-05-23,Retorno Norte Niño 270 Interior 696 -- Nueva Burundi --  CHIH 26707,M,México,México,1,,
54540811,Micaela,Posada,Bustamante,1973-05-26,Boulevard Oaxaca 362 Edif. 381  --  Depto. 051 -- Nueva El Salvador --  SON 05660-1465,M,México,México,1,,
